BSCS,Bachelor of Science in Computer Science,CCS
BSMAT,Bachelor of Science in Mathematics,CSM
BSEE,Bachelor of Science in Electrical Engineering,COE
BSN,Bachelor of Science in Nursing,CHS
BAENG,Bachelor of Arts in English,CASS
BAFIL,Bachelor of Arts in Filipino,CASS
BAHIS,Bachelor of Arts in History,CASS
BAPOL,Bachelor of Arts in Political Science,CASS
BSBIOB,Bachelor of Science in Biology (Botany),CSM
BSCHE,Bachelor of Science in Chemical Engineering,COE
BSCHEM,Bachelor of Science in Chemistry,CSM
BSCER,Bachelor of Science in Ceramics Engineering,COE
BSCPE,Bachelor of Science in Computer Engineering,COE
BSECE,Bachelor of Science in Electronics and Communications Engineering,COE
